[27-03-2019 09:45:17] : log to file : Logger.txt
[27-03-2019 09:47:13] : I am logging to Logger.txt
[27-03-2019 09:47:15] : I am logging to Logger.txt
[27-03-2019 09:47:16] : I am logging to Logger.txt
[27-03-2019 09:47:18] : I am logging to Logger.txt
[27-03-2019 09:47:19] : I am logging to Logger.txt
[27-03-2019 09:47:21] : I am logging to Logger.txt
[27-03-2019 09:48:16] : I am logging to Logger.txt[27-03-2019 09:48:19] : I am logging to Logger.txt[27-03-2019 09:48:23] : I am logging to Logger.txt[27-03-2019 09:48:27] : I am logging to Logger.txt[27-03-2019 09:48:31] : I am logging to Logger.txt[27-03-2019 09:49:10] : I am logging to Logger.txt
[27-03-2019 09:49:13] : I am logging to Logger.txt
[27-03-2019 09:49:14] : I am logging to Logger.txt
[27-03-2019 09:49:53] : I am logging to Logger.txt
[27-03-2019 09:49:54] : I am logging to Logger.txt
[27-03-2019 09:49:55] : I am logging to Logger.txt
[27-03-2019 09:52:03] : I am logging to Logger.txt
[27-03-2019 09:52:04] : I am logging to Logger.txt
[27-03-2019 09:52:25] : I am logging to Logger.txt
[27-03-2019 09:52:27] : I am logging to Logger.txt
[27-03-2019 09:52:28] : I am logging to Logger.txt
[27-03-2019 09:52:30] : I am logging to Logger.txt
[27-03-2019 09:52:33] : I am logging to Logger.txt
[27-03-2019 09:52:34] : I am logging to Logger.txt
[27-03-2019 09:52:35] : I am logging to Logger.txt
[27-03-2019 09:52:36] : I am logging to Logger.txt
[27-03-2019 09:52:37] : I am logging to Logger.txt
[27-03-2019 09:52:40] : I am logging to Logger.txt
[27-03-2019 09:52:43] : I am logging to Logger.txt
[27-03-2019 15:31:12] : I am logging to Logger.txt
[27-03-2019 15:31:29] : I am logging to Logger.txt
[27-03-2019 15:35:34] : I am logging to Logger.txt
[27-03-2019 15:38:25] : I am logging to Logger.txt
[27-03-2019 15:39:46] : I am logging to Logger.txt
[27-03-2019 15:40:59] : I am logging to Logger.txt
[27-03-2019 15:41:12] : I am logging to Logger.txt
[27-03-2019 15:41:21] : I am logging to Logger.txt
[27-03-2019 15:41:29] : I am logging to Logger.txt
[27-03-2019 15:41:30] : I am logging to Logger.txt
[27-03-2019 15:41:31] : I am logging to Logger.txt
[27-03-2019 15:41:32] : I am logging to Logger.txt
